Record,Name,Price1L1,Tax Rate Link,PRICE NO VAT,PRICE WITHOUT MARK UP WITHOUT VAT
322,J&S Popcorn,1.99,3,1.66,1.16
323,PLU,0,1,0.00,0.00
324,PLU,0,1,0.00,0.00
325,PLU,0,1,0.00,0.00
326,PLU,0,1,0.00,0.00
327,PLU,0,1,0.00,0.00
328,PLU,0,1,0.00,0.00
329,Popti Snaps Ched&Onion,3.2,1,3.20,2.24
330,Popti Snaps pop&Cayenne,3.2,1,3.20,2.24
331,White Distillery Bags,0.25,1,0.25,0.18
332,Cornish yarg weighed,0,1,0.00,0.00
333,PLU,0,1,0.00,0.00
334,PLU,0,1,0.00,0.00
335,PLU,0,1,0.00,0.00
336,PLU,0,1,0.00,0.00
337,Cornish Gouda fenugreek,4.99,1,4.99,3.49
338,Furniss Choc Shortbread,3.6,3,3.00,2.10
339,Nairn GF Flatbreads,2.75,1,2.75,1.93
340,Potato seasoning ALL,1.6,1,1.60,1.12
341,Chipotle Mayo,2,1,2.00,1.40
342,PLU,0,1,0.00,0.00
343,PLU,0,1,0.00,0.00
344,PLU,0,1,0.00,0.00
345,ASPALL WhiteWine Vinegar,2.09,1,2.09,1.46
346,PLU,0,1,0.00,0.00
347,Davidstow 36 months,5.5,1,5.50,3.85
348,Belvoir Passionfruit,3.99,3,3.33,2.33
349,Belvoir Ginger punch,3.95,3,3.29,2.30
350,PLU,0,1,0.00,0.00
351,Furniss Cornish Fairings,3.2,1,3.20,2.24
352,Homecrafts Jars,3.75,1,3.75,2.63
353,Kernow Chocolate Mint,3.5,3,2.92,2.04
354,Furniss butter fingers,0.65,1,0.65,0.46
355,Large Eggs,1.9,1,1.90,1.33
356,Medium Eggs,1.7,1,1.70,1.19
357,Dulcesol Burger Buns,1.95,1,1.95,1.37
358,Self-Raising Flour,2.25,1,2.25,1.58
359,White Bread Flour,2.79,1,2.79,1.95
360,Honey,8.99,1,8.99,6.29
361,Mrs D R/currant Jelly,2.5,1,2.50,1.75
